ID,Game_ID,Team,Line,Book,Home_Team,Away_Team,Start_Time,League,Line_Update,WinProbability,BookB,TeamB,LineB,WinProbabilityB,CombineWinProbability,WagerB,PayoutB,WagerA,PayoutA,CombineWager,CombinePayuot,MinimumNetPayout,MaximumNetPayout,WagerARounded,PayoutARounded,CombineWagerRounded,CombinePayuotRounded,MinimumNetPayoutRounded,MaximumNetPayoutRounded
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,29.0,betmgm,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:44,0.034482758620689655,pointsbetus,Los Angeles Angels,1.03,0.970873786407767,1.0053565450284567,100,103.0,3.5517241379310347,103.0,103.55172413793103,206.0,-0.551724137931032,-0.551724137931032,4.0,116.0,104.0,219.0,-1.0,-1.0
cb17f99c96dea1465070c51cca44d7dc,5,Chicago Cubs,2.5,betrivers,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-20 00:31:33,0.4,betus,Philadelphia Phillies,1.65,0.6060606060606061,1.006060606060606,100,165.0,66.0,165.0,166.0,330.0,-1.0,-1.0,66.0,165.0,166.0,330.0,-1.0,-1.0
8e7bc3a287071b73f6bb6331f42ee7db,7,Detroit Tigers,2.02,betus,Washington Nationals,Detroit Tigers,2023-05-20 16:05:00,MLB,2023-05-20 00:31:03,0.49504950495049505,fanduel,Washington Nationals,1.96,0.5102040816326531,1.005253586583148,100,196.0,97.02970297029702,196.0,197.02970297029702,392.0,-1.0297029702970235,-1.0297029702970235,97.0,195.94,197.0,391.94,-1.0600000000000023,-1.0600000000000023
8e7bc3a287071b73f6bb6331f42ee7db,7,Washington Nationals,1.96,fanduel,Washington Nationals,Detroit Tigers,2023-05-20 16:05:00,MLB,2023-05-20 00:31:24,0.5102040816326531,betus,Detroit Tigers,2.02,0.49504950495049505,1.005253586583148,100,202.0,103.06122448979592,202.0,203.0612244897959,404.0,-1.0612244897959044,-1.0612244897959044,103.0,201.88,203.0,403.88,-1.1200000000000045,-1.1200000000000045
cb17f99c96dea1465070c51cca44d7dc,5,Philadelphia Phillies,1.65,betus,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-20 00:31:03,0.6060606060606061,betrivers,Chicago Cubs,2.5,0.4,1.006060606060606,100,250.0,151.51515151515153,250.0,251.51515151515153,500.0,-1.5151515151515298,-1.5151515151515298,152.0,250.79999999999998,252.0,500.79999999999995,-2.0,-2.0
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,29.0,betmgm,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:44,0.034482758620689655,draftkings,Los Angeles Angels,1.02,0.9803921568627451,1.0148749154834347,100,102.0,3.5172413793103448,102.0,103.51724137931035,204.0,-1.5172413793103487,-1.5172413793103487,4.0,116.0,104.0,218.0,-2.0,-2.0
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,29.0,betmgm,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:44,0.034482758620689655,fanduel,Los Angeles Angels,1.02,0.9803921568627451,1.0148749154834347,100,102.0,3.5172413793103448,102.0,103.51724137931035,204.0,-1.5172413793103487,-1.5172413793103487,4.0,116.0,104.0,218.0,-2.0,-2.0
745d07987643f66b1e2bd332a6938e3d,10,Oakland Athletics,3.6,fanduel,Houston Astros,Oakland Athletics,2023-05-20 16:10:00,MLB,2023-05-20 00:31:24,0.2777777777777778,wynnbet,Houston Astros,1.36,0.7352941176470588,1.0130718954248366,100,136.0,37.77777777777778,136.0,137.77777777777777,272.0,-1.7777777777777715,-1.7777777777777715,38.0,136.8,138.0,272.8,-2.0,-2.0
8e7bc3a287071b73f6bb6331f42ee7db,7,Detroit Tigers,2.0,wynnbet,Washington Nationals,Detroit Tigers,2023-05-20 16:05:00,MLB,2023-05-20 00:28:28,0.5,fanduel,Washington Nationals,1.96,0.5102040816326531,1.010204081632653,100,196.0,98.0,196.0,198.0,392.0,-2.0,-2.0,98.0,196.0,198.0,392.0,-2.0,-2.0
8e7bc3a287071b73f6bb6331f42ee7db,7,Washington Nationals,1.96,fanduel,Washington Nationals,Detroit Tigers,2023-05-20 16:05:00,MLB,2023-05-20 00:31:24,0.5102040816326531,wynnbet,Detroit Tigers,2.0,0.5,1.010204081632653,100,200.0,102.04081632653062,200.0,202.0408163265306,400.0,-2.040816326530603,-2.040816326530603,102.0,199.92,202.0,399.91999999999996,-2.0800000000000125,-2.0800000000000125
cb17f99c96dea1465070c51cca44d7dc,5,Chicago Cubs,2.46,fanduel,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-20 00:31:24,0.4065040650406504,betus,Philadelphia Phillies,1.65,0.6060606060606061,1.0125646711012566,100,165.0,67.07317073170732,165.0,167.0731707317073,330.0,-2.0731707317073074,-2.0731707317073074,67.0,164.82,167.0,329.82,-2.180000000000007,-2.180000000000007
39af70ee8cdc4ac5884a0071f63e812a,1,Miami Marlins,10.6,fanduel,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:28:37,0.09433962264150944,draftkings,San Francisco Giants,1.08,0.9259259259259258,1.0202655485674352,100,108.0,10.18867924528302,108.0,110.18867924528303,216.0,-2.1886792452830264,-2.1886792452830264,10.0,106.0,110.0,214.0,-4.0,-4.0
cb17f99c96dea1465070c51cca44d7dc,5,Chicago Cubs,2.5,betrivers,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-20 00:31:33,0.4,wynnbet,Philadelphia Phillies,1.63,0.6134969325153374,1.0134969325153373,100,163.0,65.2,163.0,165.2,326.0,-2.1999999999999886,-2.1999999999999886,65.0,162.5,165.0,325.5,-2.5,-2.5
eda61dfe9a4b9503cc608dd1b0646439,8,Miami Marlins,2.5,wynnbet,San Francisco Giants,Miami Marlins,2023-05-20 16:05:00,MLB,2023-05-20 00:28:28,0.4,betus,San Francisco Giants,1.63,0.6134969325153374,1.0134969325153373,100,163.0,65.2,163.0,165.2,326.0,-2.1999999999999886,-2.1999999999999886,65.0,162.5,165.0,325.5,-2.5,-2.5
9a3fb9ba8bc4a0f35b0ccbd6c0c6ae91,2,Kansas City Royals,2.65,wynnbet,Chicago White Sox,Kansas City Royals,2023-05-20 14:10:00,MLB,2023-05-20 00:28:28,0.37735849056603776,fanduel,Chicago White Sox,1.57,0.6369426751592356,1.0143011657252734,100,157.0,59.24528301886793,157.0,159.24528301886792,314.0,-2.245283018867923,-2.245283018867923,59.0,156.35,159.0,313.35,-2.6500000000000057,-2.6500000000000057
9a3fb9ba8bc4a0f35b0ccbd6c0c6ae91,2,Kansas City Royals,2.65,betrivers,Chicago White Sox,Kansas City Royals,2023-05-20 14:10:00,MLB,2023-05-20 00:31:33,0.37735849056603776,fanduel,Chicago White Sox,1.57,0.6369426751592356,1.0143011657252734,100,157.0,59.24528301886793,157.0,159.24528301886792,314.0,-2.245283018867923,-2.245283018867923,59.0,156.35,159.0,313.35,-2.6500000000000057,-2.6500000000000057
9a3fb9ba8bc4a0f35b0ccbd6c0c6ae91,2,Kansas City Royals,2.65,wynnbet,Chicago White Sox,Kansas City Royals,2023-05-20 14:10:00,MLB,2023-05-20 00:28:28,0.37735849056603776,draftkings,Chicago White Sox,1.57,0.6369426751592356,1.0143011657252734,100,157.0,59.24528301886793,157.0,159.24528301886792,314.0,-2.245283018867923,-2.245283018867923,59.0,156.35,159.0,313.35,-2.6500000000000057,-2.6500000000000057
